code_INSEE;nb_menages_fiscaux_com;nb_personnes_dans_menage_com;Médiane_niv_vie_com;tx_pauvrete_total_com;tx_pauvrete-locataires_com
02518;116;288;21628;;
02519;75;183;16878;;
02520;290;756;19501;;
02521;509;1378;21841;;
02522;;;;;
02523;;;;;
02524;284;716;23312;;
02525;242;567;22289;;
02526;;;;;
02527;177;470;19607;;
02528;103;232;22554;;
02529;82;198;17957;;
02530;;;;;
02531;52;119;18986;;
02532;413;942;20414;;
02533;54;122;19796;;
02534;;;;;
02535;42;115;17133;;
02536;37;102;20592;;
02537;69;187;21875;;
02538;;;;;
02539;277;704;19041;;
02540;477;1258;21607;;
02541;180;447;20796;;
02542;;;;;
02543;824;2024;18633;16;
02544;253;624;17840;;
02545;64;149;20565;;
02546;72;198;20921;;
02547;;;;;
02548;145;368;18875;;
02549;359;860;21949;;
02550;49;105;18244;;
02551;46;140;20424;;
02552;72;186;21470;;
02553;98;234;18690;;
02554;431;1009;23626;;
02555;840;2093;19634;12;
02556;;;;;
02557;51;132;22264;;
02558;1124;2473;17173;23;40
02559;205;492;17397;;
02560;113;251;22075;;
02561;61;144;24392;;
02562;82;222;17363;;
02563;68;172;17875;;
02564;193;512;21839;;
02565;113;291;19525;;
02566;461;1123;21473;;
02567;121;291;16070;;
02568;70;156;25153;;
02569;182;470;17591;;
02570;71;186;19514;;
02571;263;638;23473;;
02572;188;489;24708;;
02573;;;;;
02574;559;1360;18281;;
02575;720;1649;17233;;
02576;126;342;21320;;
02577;;;;;
02578;;;;;
02579;53;128;18600;;
02580;321;793;18401;;
02581;109;291;22735;;
02582;;;;;
02583;;;;;
02584;38;105;21648;;
02585;88;251;21979;;
02586;67;147;21495;;
02587;150;363;22249;;
02588;;;;;
02589;97;248;21838;;
02590;69;168;21955;;
02591;60;135;20177;;
02592;89;204;19245;;
02593;434;1030;23448;;
02594;52;142;20151;;
02595;62;136;22391;;
02596;318;835;19750;;
02598;275;695;22403;;
02599;109;270;19782;;
02600;153;371;19566;;
02601;66;194;19758;;
02602;720;1767;17336;;
02604;;;;;
02605;79;205;19406;;
02606;;;;;
02607;;;;;
02608;193;419;17025;;
02609;;;;;
02610;301;746;21250;;
02612;52;126;16713;;
02613;238;629;20510;;
02614;105;274;18896;;
02615;128;342;24583;;
02616;77;204;20535;;
02617;190;481;20199;;
02618;270;696;18310;;
02619;213;443;21673;;
02620;132;323;18336;;
02621;165;408;25317;;
02622;;;;;
02623;;;;;
02624;114;255;19556;;
02625;58;142;17517;;
02626;140;342;21325;;
02627;46;123;21276;;
02628;83;218;21384;;
02629;116;315;17445;;
02631;165;410;19804;;
02632;;;;;
02633;;;;;
02634;;;;;
02635;59;154;21980;;
02636;88;214;21839;;
02637;128;313;22195;;
02638;94;222;18786;;
02639;143;342;20197;;
02640;64;161;17028;;
02641;47;114;13254;;
02642;78;168;17225;;
02643;293;741;21317;;
02644;146;389;21881;;
02645;86;205;20033;;
02647;;;;;
02648;843;1966;17867;;
02649;100;278;21175;;
02650;141;351;19162;;
02651;;;;;
02652;40;111;17523;;
02653;203;493;21672;;
02654;;;;;
02655;50;111;19447;;
02656;146;376;23429;;
02657;86;229;15265;;
02658;93;242;20348;;
02659;217;526;25369;;
02660;;;;;
02661;95;246;22254;;
02662;125;310;20518;;
02663;78;204;18598;;
02664;46;108;23141;;
02665;121;311;20199;;
02666;421;954;15221;;
02667;89;228;22208;;
02668;430;1029;17296;;
02670;64;143;18573;;
02671;115;293;16445;;
02672;98;264;21185;;
02673;166;430;19723;;
02674;;;;;
02675;52;135;20629;;
02676;688;1744;19417;;
02677;99;223;19870;;
02678;;;;;
02679;50;155;19714;;
02680;874;2008;19819;16;
02681;116;269;17580;;
02682;44;107;19109;;
02683;47;105;16436;;
02684;1373;3225;16216;28;52
02685;45;129;21342;;
02686;165;399;20660;;
02687;124;317;21645;;
02688;;;;;
02689;;;;;
02690;;;;;
02691;24479;52271;16701;29;43
02693;85;224;19746;;
02694;238;622;20478;;
02695;;;;;
02696;;;;;
02697;149;370;22644;;
02698;;;;;
02699;106;288;19359;;
02701;277;690;20927;;
02702;265;634;21872;;
02703;405;1011;18246;;
02704;102;245;18407;;
02705;84;209;17791;;
02706;226;581;21283;;
02707;78;185;20781;;
02708;91;227;21738;;
02709;161;396;17152;;
02710;283;748;20280;;
02711;115;309;19594;;
02712;63;149;20266;;
02713;94;272;18585;;
02714;134;338;19023;;
02715;;;;;
02716;120;301;21852;;
02717;246;644;18719;;
02718;57;130;22374;;
02719;868;2054;19755;16;
02720;778;1835;17109;;
02721;206;478;21554;;
02722;12583;26696;16648;27;38
02723;;;;;
02724;;;;;
02725;52;151;17130;;
02726;67;166;21449;;
02727;99;229;17994;;
02728;115;288;18465;;
02729;;;;;
02730;118;267;17636;;
02731;64;161;19577;;
02732;;;;;
02734;119;268;20757;;
02735;;;;;
02736;62;166;18280;;
02737;236;587;17732;;
02738;5932;13392;16987;25;43
02739;118;336;22624;;
02740;100;218;18828;;
02741;228;518;16422;;
02742;42;104;18598;;
02743;59;150;19460;;
02744;;;;;
02745;50;123;19402;;
02746;273;673;19878;;
02747;;;;;
02748;410;968;22769;;
02749;84;237;21709;;
02750;232;581;18542;;
02751;59;144;17682;;
